Date,Store_ID,Product_Category,Product_ID,Quantity_Sold,Price_per_Unit,Discount per_order,Total_Sales,District,State
1/30/2024,DM001,Electronics,P7469,37,240.62,2%,8724.88,Mumbai,Maharashtra
8/23/2024,DM005,Electronics,P2940,40,135.87,0%,5434.8,Hyderabad,Telangana
6/4/2024,DM001,Clothing,P2540,36,143.49,21%,4080.86,Mumbai,Maharashtra
12/8/2024,DM002,Stationery,P7101,22,265.69,18%,4793.05,Pune,Maharashtra
7/3/2024,DM015,Electronics,P7514,46,170.23,19%,6342.77,Guwahati,Assam
1/21/2024,DM017,Clothing,P7378,32,470.42,11%,13397.56,Dehradun,Uttarakhand
4/23/2024,DM016,Clothing,P1381,36,90.07,27%,2367.04,Thiruvananthapuram,Kerala
4/28/2024,DM004,Clothing,P5038,29,381.74,27%,8081.44,Chennai,Tamil Nadu
9/7/2024,DM018,Home & Kitchen,P7783,34,28.25,3%,931.68,Shimla,Himachal Pradesh
4/6/2024,DM002,Home & Kitchen,P7571,11,493.28,28%,3906.78,Pune,Maharashtra
1/5/2024,DM012,Home & Kitchen,P1018,23,295.69,24%,5168.66,Indore,Madhya Pradesh
7/26/2024,DM013,Groceries,P7997,21,402.79,23%,6513.11,Patna,Bihar
7/8/2024,DM014,Home & Kitchen,P1361,16,404.22,8%,5950.12,Bhubaneswar,Odisha
3/1/2024,DM003,Groceries,P9006,42,247.73,28%,7491.36,Bangalore,Karnataka
9/15/2024,DM007,Electronics,P4256,49,143.35,14%,6040.77,Ahmedabad,Gujarat
8/27/2024,DM003,Groceries,P3420,15,360.42,14%,4649.42,Bangalore,Karnataka
8/15/2024,DM018,Groceries,P7668,28,211.63,22%,4622,Shimla,Himachal Pradesh
4/5/2024,DM008,Home & Kitchen,P3099,31,327.14,17%,8417.31,Kolkata,West Bengal
1/8/2024,DM018,Stationery,P8604,8,405.09,16%,2722.2,Shimla,Himachal Pradesh
5/12/2024,DM011,Electronics,P1648,45,461.83,17%,17249.35,Chandigarh,Punjab
9/3/2024,DM012,Electronics,P7514,45,295.84,7%,12380.9,Indore,Madhya Pradesh
2/3/2024,DM020,Clothing,P5532,7,281.68,30%,1380.23,Panaji,Goa
2/26/2024,DM020,Groceries,P1819,13,113.8,16%,1242.7,Panaji,Goa
3/17/2024,DM015,Home & Kitchen,P5982,41,287.59,23%,9079.22,Guwahati,Assam
12/2/2024,DM017,Clothing,P9712,5,430.29,16%,1807.22,Dehradun,Uttarakhand
8/8/2024,DM007,Stationery,P7141,8,134.05,24%,815.02,Ahmedabad,Gujarat
10/4/2024,DM019,Electronics,P9153,1,95.11,1%,94.16,Ranchi,Jharkhand
1/24/2024,DM008,Electronics,P7856,39,82.3,10%,2888.73,Kolkata,West Bengal
5/7/2024,DM012,Stationery,P6239,37,197.48,0%,7306.76,Indore,Madhya Pradesh
11/4/2024,DM020,Groceries,P5225,15,161.76,9%,2208.02,Panaji,Goa
10/16/2024,DM016,Stationery,P5881,33,298.87,22%,7692.91,Thiruvananthapuram,Kerala
6/18/2024,DM015,Groceries,P3385,45,371.73,23%,12880.44,Guwahati,Assam
5/24/2024,DM006,Stationery,P5725,47,275.57,5%,12304.2,Delhi,Delhi
2/16/2024,DM006,Home & Kitchen,P7157,11,23.91,16%,220.93,Delhi,Delhi
11/12/2024,DM001,Groceries,P5527,25,264.55,22%,5158.73,Mumbai,Maharashtra
8/29/2024,DM009,Electronics,P5483,8,173.7,15%,1181.16,Jaipur,Rajasthan
9/3/2024,DM002,Groceries,P8213,6,214.58,21%,1017.11,Pune,Maharashtra
9/25/2024,DM003,Groceries,P2187,41,273.44,11%,9977.83,Bangalore,Karnataka
2/3/2024,DM011,Home & Kitchen,P3918,36,119.87,19%,3495.41,Chandigarh,Punjab
